order_id,customer_id,customer_name,customer_email,order_date,shipping_city,shipping_state,shipping_country,shipping_cost,product_id,product_name,category,quantity,unit_price,revenue,store_name,payment_method,order_status
ORD000001,CUST01852,Christopher Wood,vsims@example.net,2024-09-01,Lake Hannahhaven,Mississippi,USA,23.14,PROD1569,Shovel,Garden Tools,4,305.4,1221.6,HomeEssentials,Apple Pay,Completed
ORD000002,CUST01737,Michael Bailey,asanders@example.org,2026-04-12,Davisshire,South Carolina,USA,14.64,PROD6618,Solar Light,Lighting,4,288.45,1153.8,HomeEssentials,Apple Pay,Completed
ORD000003,CUST01352,Angela Wallace,brooke33@example.com,2024-10-02,Elizabethport,California,USA,18.99,PROD6796,Sleeping Bag,Camping Gear,4,277.84,1111.36,OutdoorHub,Apple Pay,Returned
ORD000004,CUST00795,Karen Flores,richardsdiana@example.com,2023-08-04,Sanfordview,Wyoming,USA,16.19,PROD8224,Wall Art,Home Decor,3,282.11,846.33,OutdoorHub,Credit Card,Completed
ORD000005,CUST01538,James Ward,jasonmiller@example.org,2026-04-07,Hollandport,Wisconsin,USA,26.72,PROD1281,Tent,Camping Gear,1,21.8,21.8,PatioWorld,PayPal,Completed
ORD000006,CUST01412,Joseph Rodriguez,bfisher@example.net,2023-11-01,South Barbara,South Carolina,USA,24.08,PROD8960,Solar Light,Lighting,4,315.83,1263.32,GardenPro,PayPal,Cancelled
ORD000007,CUST02051,Kevin Obrien,dominiquemiller@example.com,2024-12-06,South Holly,Virginia,USA,25.16,PROD5854,Patio Table,Patio Furniture,1,211.31,211.31,PatioWorld,Google Pay,Returned
ORD000008,CUST01818,Rebekah Wagner PhD,william82@example.net,2023-09-17,South Bobby,Alaska,USA,5.37,PROD6117,Decorative Vase,Home Decor,5,257.56,1287.8,GardenPro,PayPal,Returned
ORD000009,CUST01940,Erin Miller,ernestferrell@example.org,2026-03-14,South Raymond,Washington,USA,19.9,PROD3638,Garden Bench,Patio Furniture,2,430.19,860.38,GardenPro,Credit Card,Cancelled
ORD000010,CUST01118,Lisa Jenkins,hvincent@example.com,2025-09-17,Lake Jennifer,Georgia,USA,20.25,PROD2153,Solar Light,Lighting,4,221.78,887.12,OutdoorHub,Credit Card,Cancelled
ORD000011,CUST02328,Ana Rivera,zwright@example.com,,East Thomas,Florida,USA,10.52,PROD7475,Decorative Vase,Home Decor,4,283.12,1132.48,HomeEssentials,Apple Pay,Completed
ORD000012,CUST02328,Ana Rivera,zwright@example.com,2025-02-12,North Justin,Missouri,USA,13.13,PROD6378,Area Rug,Home Decor,4,408.95,1635.8,CampMaster,Apple Pay,Returned
ORD000013,CUST00768,Ricky Lopez,cunninghamarthur@example.com,2025-09-05,Port Cherylside,Wyoming,USA,29.5,PROD6690,Patio Table,Patio Furniture,1,121.39,121.39,HomeEssentials,Apple Pay,Cancelled
ORD000014,CUST00622,Nicholas Sullivan,derekgray@example.net,2025-11-24,Robertview,New Jersey,USA,26.4,PROD1949,LED Lantern,Lighting,4,193.06,772.24,PatioWorld,Credit Card,Cancelled
ORD000015,CUST01635,Rebecca Schneider,carly77@example.net,2026-05-31,Johnsonbury,Maryland,USA,17.65,PROD7847,Outdoor Lamp,Lighting,2,441.61,883.22,PatioWorld,Google Pay,Cancelled
ORD000016,CUST00309,Katie Lopez,hstevens@example.net,2023-07-11,Victoriaview,North Carolina,USA,7.89,PROD3227,Outdoor Lamp,Lighting,4,108.95,435.8,OutdoorHub,Google Pay,Returned
ORD000017,CUST01010,Brian Martinez,billydawson@example.org,2025-04-15,South Jesse,Hawaii,USA,19.84,PROD4686,Patio Table,Patio Furniture,1,48.81,48.81,PatioWorld,Google Pay,Returned
ORD000018,CUST02351,John Lowery,lauralarsen@example.com,2025-11-27,Meyersburgh,New Hampshire,USA,21.87,PROD8058,Solar Light,Lighting,3,32.89,98.67,GardenPro,PayPal,Completed
ORD000019,CUST02075,Sandra Saunders,amy51@example.net,2025-01-04,Lake Beth,California,USA,18.71,PROD3690,Patio Table,Patio Furniture,4,283.66,1134.64,HomeEssentials,Credit Card,Returned
ORD000020,CUST01565,Miss Courtney Christian MD,joshua94@example.com,2023-08-26,Port Jenniferville,Rhode Island,USA,15.6,PROD5597,Patio Table,Patio Furniture,4,322.93,1291.72,CampMaster,Credit Card,Returned
ORD000021,CUST00781,David White,paul40@example.org,2026-03-24,New Kimberlyburgh,Wisconsin,USA,15.57,PROD6218,Decorative Vase,Home Decor,1,346.84,346.84,HomeEssentials,Apple Pay,Returned
ORD000022,CUST01781,Michele Williams,eric31@example.com,2023-12-25,Kiddmouth,Idaho,USA,15.98,PROD2473,Outdoor Lamp,Lighting,1,398.03,398.03,OutdoorHub,Google Pay,Completed
ORD000023,CUST01955,Tommy Torres,mccartymelissa@example.org,2026-03-05,Donnafurt,Ohio,USA,7.34,PROD4553,Shovel,Garden Tools,1,169.55,169.55,HomeEssentials,Apple Pay,Cancelled
ORD000024,CUST02044,Kelly Pittman,invalid_email,2024-02-26,West Jamesside,Wyoming,USA,7.33,PROD6310,Patio Table,Patio Furniture,4,43.79,175.16,GardenPro,Apple Pay,Returned
ORD000025,CUST01968,Thomas King,michele29@example.net,2026-02-27,Lake Lisa,Indiana,USA,14.64,PROD7686,Pruning Shears,Garden Tools,5,341.44,1707.2,OutdoorHub,Google Pay,Returned
ORD000026,CUST00408,Daniel Harris,ojenkins@example.net,2025-10-10,Lake Paul,Connecticut,USA,13.9,PROD4558,Tent,Camping Gear,5,465.73,2328.65,OutdoorHub,Apple Pay,Cancelled
ORD000027,CUST00527,Taylor Rocha,craigmark@example.net,2024-05-29,Lake Marvinmouth,Colorado,USA,21.11,PROD7041,Patio Table,Patio Furniture,3,412.71,1238.13,CampMaster,Credit Card,Returned
ORD000028,CUST00428,Jennifer Thompson,nfarley@example.com,2025-12-14,Hansonfort,Idaho,USA,25.83,PROD2861,Shovel,Garden Tools,3,480.52,1441.56,OutdoorHub,Apple Pay,Cancelled
ORD000029,CUST02396,Jaime Anderson,lewisronald@example.net,2026-03-03,Dodsonville,Michigan,USA,10.42,PROD2270,Solar Light,Lighting,1,71.79,71.79,HomeEssentials,PayPal,Returned
ORD000030,CUST00994,Isabella Kelley,brittanysoto@example.com,2025-02-13,Coxport,Nebraska,USA,5.45,PROD2134,Solar Light,Lighting,2,68.73,137.46,CampMaster,Google Pay,Returned
ORD000031,CUST01322,Mary Stanley,crystalhernandez@example.net,2023-11-20,Wilcoxfort,Texas,USA,25.51,PROD4118,Garden Bench,Patio Furniture,2,434.19,868.38,HomeEssentials,PayPal,Completed
ORD000032,CUST01671,Natalie Mercado,dyoung@example.net,2026-03-18,Port Stevenmouth,Rhode Island,USA,9.79,PROD6635,Solar Light,Lighting,1,131.75,131.75,CampMaster,Credit Card,Returned
ORD000033,CUST02244,Matthew Knapp,dsalas@example.com,2024-11-02,Lake Ronald,Massachusetts,USA,6.61,PROD5538,Garden Bench,Patio Furniture,4,254.81,1019.24,GardenPro,Credit Card,Completed
ORD000034,CUST00827,Anthony Lee,thomas30@example.net,2025-08-14,West Bettyburgh,Maryland,USA,11.27,PROD7254,LED Lantern,Lighting,3,296.14,888.42,CampMaster,Apple Pay,Cancelled
ORD000035,CUST01435,Thomas Bowen,cookgloria@example.net,2023-10-11,Dominguezborough,Iowa,USA,8.65,PROD9061,Outdoor Sofa,Patio Furniture,2,360.23,720.46,HomeEssentials,PayPal,Completed
ORD000036,CUST02433,Mary Marshall,bethestrada@example.com,2024-08-01,Gomezshire,Washington,USA,19.81,PROD5804,Wall Art,Home Decor,3,439.07,1317.21,CampMaster,PayPal,Returned
ORD000037,CUST01250,Mark Cooper,estrong@example.net,2026-04-28,West Sharonland,West Virginia,USA,22.38,PROD4946,Garden Bench,Patio Furniture,3,155.66,466.98,OutdoorHub,Apple Pay,Cancelled
ORD000038,CUST01950,Leslie Hayes,owolfe@example.net,2023-12-02,Millerville,Washington,USA,29.75,PROD7279,Area Rug,Home Decor,2,329.38,658.76,OutdoorHub,Apple Pay,Completed
ORD000039,CUST02074,Victoria Cobb,ramirezroger@example.com,2023-11-09,New Tanya,Arizona,USA,14.96,PROD2377,Pruning Shears,Garden Tools,3,59.33,177.99,HomeEssentials,Google Pay,Completed
ORD000040,CUST01835,Angel Bell,richardnielsen@example.com,2025-05-14,North Williamport,Pennsylvania,USA,28.2,PROD5819,Outdoor Lamp,Lighting,4,406.5,1626.0,PatioWorld,Apple Pay,Completed
ORD000041,CUST00184,Kelly Smith,bcobb@example.net,2023-10-19,East Danielshire,New Mexico,USA,28.24,PROD5140,Patio Table,Patio Furniture,2,50.36,100.72,GardenPro,PayPal,Completed
ORD000042,CUST01740,Kayla Bailey,christopher55@example.com,2024-11-28,West Michael,New Hampshire,USA,5.51,PROD4949,LED Lantern,Lighting,2,320.82,641.64,GardenPro,Apple Pay,Cancelled
ORD000043,CUST01006,Anthony Scott,arnoldamy@example.net,,Port Christinefurt,Iowa,USA,21.46,PROD3863,Pruning Shears,Garden Tools,1,358.42,358.42,GardenPro,Google Pay,Cancelled
ORD000044,CUST01542,Dan Page,reyesdustin@example.org,2024-07-19,Tylerville,New York,USA,27.61,PROD4453,Garden Hose,Garden Tools,2,306.71,613.42,PatioWorld,Credit Card,Completed
ORD000045,CUST00161,Jeffrey Leblanc,patricia18@example.org,2025-10-05,North Joshuamouth,New York,USA,11.8,PROD9457,Outdoor Sofa,Patio Furniture,5,464.51,2322.55,HomeEssentials,Credit Card,Returned
ORD000046,CUST01883,Brittany Kelly,madelinebonilla@example.com,2024-11-30,Samanthahaven,Minnesota,USA,5.85,PROD6804,Garden Bench,Patio Furniture,4,454.43,1817.72,PatioWorld,Google Pay,Cancelled
ORD000047,CUST02157,James Greene,brandon92@example.net,2026-02-19,New Carmenbury,Utah,USA,26.16,PROD3386,Area Rug,Home Decor,5,244.16,1220.8,OutdoorHub,Credit Card,Cancelled
ORD000048,CUST00952,Alan Williams,smithjamie@example.net,2023-07-11,Lake Amanda,Massachusetts,USA,20.71,PROD2124,Outdoor Lamp,Lighting,5,477.3,2386.5,HomeEssentials,Credit Card,Completed
ORD000049,CUST00004,Matthew Palmer,christine20@example.com,2023-10-24,Samanthahaven,New York,USA,25.77,PROD1286,Outdoor Sofa,Patio Furniture,3,371.59,1114.77,HomeEssentials,Credit Card,Completed
ORD000050,CUST00516,Eric Wilson,medinascott@example.org,2024-06-20,Saraland,Florida,USA,20.13,PROD1973,Shovel,Garden Tools,1,168.55,168.55,HomeEssentials,Google Pay,Cancelled
ORD000051,CUST00712,Jacob Dalton,zachary55@example.org,2024-12-21,Lake Todd,North Carolina,USA,29.04,PROD7317,Garden Hose,Garden Tools,4,367.76,1471.04,GardenPro,Google Pay,Completed
ORD000052,CUST00059,Lisa Stephens,ugonzales@example.net,2023-08-28,Jasminemouth,Utah,USA,25.1,PROD4584,Decorative Vase,Home Decor,2,212.67,425.34,CampMaster,Apple Pay,Completed
ORD000053,CUST00469,Sara Hansen,berryfaith@example.org,2024-01-27,West Davidberg,Alaska,USA,14.72,PROD9645,Outdoor Lamp,Lighting,2,102.69,205.38,OutdoorHub,PayPal,Cancelled
ORD000054,CUST00251,Jasmine Choi,jcallahan@example.org,2025-05-28,West Pamela,Wisconsin,USA,28.47,PROD9389,Garden Bench,Patio Furniture,1,206.78,206.78,CampMaster,Credit Card,Cancelled
ORD000055,CUST01983,Sean Gray,paul47@example.org,2026-05-20,East Christopherville,Utah,USA,5.68,PROD3436,Tent,Camping Gear,1,362.64,362.64,CampMaster,PayPal,Cancelled
ORD000056,CUST01369,Cory Matthews,lmcdonald@example.com,2026-02-20,Katrinaview,Mississippi,USA,29.19,PROD1130,Sleeping Bag,Camping Gear,2,162.89,325.78,OutdoorHub,Google Pay,Cancelled
ORD000057,CUST00872,Donald Carter,spencerortiz@example.net,2023-10-24,Franklinville,West Virginia,USA,8.29,PROD3896,Wall Art,Home Decor,3,340.4,1021.2,OutdoorHub,Credit Card,Completed
ORD000058,CUST02494,Tony Cruz,danielwilliams@example.com,2024-04-15,South Edward,South Dakota,USA,5.29,PROD2862,Outdoor Lamp,Lighting,1,140.07,140.07,HomeEssentials,Google Pay,Completed
ORD000059,CUST00044,Jennifer Miller,allennicole@example.org,2025-11-28,North Sarahburgh,Kansas,USA,16.26,PROD8541,Decorative Vase,Home Decor,3,31.19,93.57,GardenPro,Google Pay,Completed
ORD000060,CUST01372,Sue West,jyoung@example.com,2024-10-21,Lake Jeanneport,Oregon,USA,13.44,PROD3945,Solar Light,Lighting,1,183.32,183.32,HomeEssentials,Credit Card,Cancelled
ORD000061,CUST01742,Christie Price,michaelchang@example.org,2024-03-04,Port Reginald,Michigan,USA,19.99,PROD7821,Shovel,Garden Tools,3,453.1,1359.3,CampMaster,Credit Card,Cancelled
ORD000062,CUST00755,Dorothy Wright,xshaw@example.com,2025-01-05,Silvaport,Texas,USA,6.53,PROD8777,Outdoor Lamp,Lighting,4,167.83,671.32,CampMaster,Google Pay,Cancelled
ORD000063,CUST00908,Kevin Alvarez,matthewproctor@example.com,2024-12-23,Stephaniefort,Delaware,USA,27.21,PROD1831,Solar Light,Lighting,5,50.32,251.6,HomeEssentials,Apple Pay,Completed
